review_uid,annotation_id,destination,language_review,aspecto,text_clean,input_modelo,label,estado_acuerdo_aspecto,estado_acuerdo_label
gm_2ddf14298befde5a,A001562,Museo de Sitio Huaca Pucllana,es,atractivos,"Lugar descubierto en el año 1985, rodeado de las contribuciones de Lima, es un sitio arqueológico en medio de la modernidad.","aspecto: atractivos reseña: Lugar descubierto en el año 1985, rodeado de las contribuciones de Lima, es un sitio arqueológico en medio de la modernidad.",neutro,acuerdo_total_3_de_3,mayoria_2_de_3
gm_078215b204d8e2d5,A001563,Ciudadela de Kuélap,es,costos,"No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.","aspecto: costos reseña: No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.",negativo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_078215b204d8e2d5,A001564,Ciudadela de Kuélap,es,accesibilidad,"No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.","aspecto: accesibilidad reseña: No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.",negativo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_be225c8c3dea6b8c,A001565,Reserva Nacional de Paracas,en,atractivos,For those who've never seen a desert this is a good example of very fine silky sand. Must go into Paracas as well to see the lush green of an oasis.,aspecto: atractivos reseña: For those who've never seen a desert this is a good example of very fine silky sand. Must go into Paracas as well to see the lush green of an oasis.,positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_86e99acc75e4e64f,A000005,Ciudadela de Kuélap,es,atractivos,Lo hermoso y bello del contacto con la naturaleza. Hermosa experiencia vivida y poder conocer los atractivos turísticos de esta bella ciudad. Chachapoyas - Perú,aspecto: atractivos reseña: Lo hermoso y bello del contacto con la naturaleza. Hermosa experiencia vivida y poder conocer los atractivos turísticos de esta bella ciudad. Chachapoyas - Perú,positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_9359397bc7ff2e1f,A000006,Centro Histórico de Lima,es,atractivos,"Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock","aspecto: atractivos reseña: Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_9359397bc7ff2e1f,A001566,Centro Histórico de Lima,es,gastronomia,"Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock","aspecto: gastronomia reseña: Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock",neutro,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_31040f6c2eaacaaa,A000007,Museo Tumbas Reales del Señor de Sipán,en,atractivos,"It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.","aspecto: atractivos reseña: It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_31040f6c2eaacaaa,A000008,Museo Tumbas Reales del Señor de Sipán,en,atencion_servicio,"It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.","aspecto: atencion_servicio reseña: It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_a312b439d9a62d10,A000011,Circuito Mágico del Agua,es,atractivos,"Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!","aspecto: atractivos reseña: Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_a312b439d9a62d10,A000012,Circuito Mágico del Agua,es,aforo_multitudes,"Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!","aspecto: aforo_multitudes reseña: Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_a312b439d9a62d10,A001568,Circuito Mágico del Agua,es,limpieza,"Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!","aspecto: limpieza reseña: Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_dedb539555ee098c,A001572,Centro Histórico de Lima,es,seguridad,"Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.","aspecto: seguridad reseña: Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",positivo,acuerdo_total_3_de_3,mayoria_2_de_3
